merged_dataset <- merge(NASCOTUS_CLEANED_dataset, justice_affiliations_dataset, by = "justiceName", all = TRUE)justiceName,fullJusticeName,presAppointed,presAffiliation
TMarshall,"Marshall, Thurgood ( 10/02/1967 - 10/01/1991 )",Lyndon Johnson,0
WEBurger,"Burger, Warren ( 06/23/1969 - 09/26/1986 )",Richard Nixon,1
HABlackmun,"Blackmun, Harry ( 06/09/1970 - 08/03/1994 )",Richard Nixon,1
LFPowell,"Powell, Lewis ( 01/07/1972 - 06/26/1987 )",Richard Nixon,1
WHRehnquist,"Rehnquist, William ( 01/07/1972 - 09/03/2005 )",Richard Nixon,1
JPStevens,"Stevens, John ( 12/19/1975 - 06/29/2010 )",Gerald Ford,1
SDOConnor,"O'Connor, Sandra ( 09/25/1981 - 01/31/2006 )",Ronald Reagan,1
AScalia,"Scalia, Antonin ( 09/26/1986 - 02/13/2016 )",Ronald Reagan,1
AMKennedy,"Kennedy, Anthony ( 02/18/1988 - 07/31/2018 )",Ronald Reagan,1
DHSouter,"Souter, David ( 10/09/1990 - 06/29/2009 )",George H.W. Bush,1
CThomas,"Thomas, Clarence ( 10/23/1991 - 00/00/0000 )",George H.W. Bush,1
RBGinsburg,"Ginsburg, Ruth ( 08/10/1993 - 09/18/2020 )",Bill Clinton,0
SGBreyer,"Breyer, Stephen ( 08/03/1994 - 06/30/2022 )",Bill Clinton,0
JGRoberts,"Roberts, John ( 09/29/2005 - 00/00/0000 )",George W. Bush,1
SAAlito,"Alito, Samuel ( 01/31/2006 - 00/00/0000 )",George W. Bush,1
SSotomayor,"Sotomayor, Sonia ( 08/08/2009 - 00/00/0000 )",Barack Obama,0
EKagan,"Kagan, Elena ( 08/07/2010 - 00/00/0000 )",Barack Obama,0
NMGorsuch,"Gorsuch, Neil ( 04/08/2017 - 00/00/0000 )",Donald Trump,1
BMKavanaugh,"Kavanaugh, Brett ( 10/06/2018 - 00/00/0000 )",Donald Trump,1
ACBarrett,"Barrett, Amy ( 10/27/2020 - 00/00/0000 )",Donald Trump,1
KBJackson,"Jackson, Ketanji ( 06/30/2022 - 00/00/0000 )",Joe Biden,0
